, Emotion, Text, Clean_text
1056,puas, Pelayanan tata usaha kampus sangat sigap dalam mengurus berbagai keperluan mahasiswa., Pelayanan tata usaha kampus sangat sigap dalam mengurus berbagai keperluan mahasiswa.
1057,kesal, Sayakesal karena tata usaha kampus seringkali memberikan informasi yang tidak akurat dan membingungkan., Sayakesal karena tata usaha kampus seringkali memberikan informasi yang tidak akurat dan membingungkan.
1058,kecewa, Saya merasa kecewa  dengan kurangnya transparansi dalam proses administrasi tata usaha kampus., Saya merasa kecewa  dengan kurangnya transparansi dalam proses administrasi tata usaha kampus.
1059,puas, Pelayanan tata usaha kampus sangat membantu dan mudah diakses oleh mahasiswa., Pelayanan tata usaha kampus sangat membantu dan mudah diakses oleh mahasiswa.
1060,kesal, Sayakesal karena tata usaha kampus seringkali tidak mengindahkan deadline dalam pengurusan administrasi mahasiswa., Sayakesal karena tata usaha kampus seringkali tidak mengindahkan deadline dalam pengurusan administrasi mahasiswa.
1061,kecewa, Saya merasa kecewa  dengan kurangnya koordinasi antara bagian-bagian di tata usaha kampus., Saya merasa kecewa  dengan kurangnya koordinasi antara bagian-bagian di tata usaha kampus.
1062,puas, Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi mengenai beasiswa dan bantuan keuangan., Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi mengenai beasiswa dan bantuan keuangan.
1063,kesal, Sayakesal karena tata usaha kampus seringkali tidak memberikan konfirmasi atau balasan atas email dan surat dari mahasiswa., Sayakesal karena tata usaha kampus seringkali tidak memberikan konfirmasi atau balasan atas email dan surat dari mahasiswa.
1064,kecewa, Saya merasa kecewa  dengan pelayanan tata usaha kampus yang tidak sesuai dengan janji dan komitmen yang diucapkan., Saya merasa kecewa  dengan pelayanan tata usaha kampus yang tidak sesuai dengan janji dan komitmen yang diucapkan.
1065,puas, Pelayanan tata usaha kampus sangat ramah dan memberikan pengalaman yang menyenangkan bagi mahasiswa., Pelayanan tata usaha kampus sangat ramah dan memberikan pengalaman yang menyenangkan bagi mahasiswa.
1066,kesal, Sayakesal karena tata usaha kampus seringkali mengalamikesalahan dalam mengurus administrasi mahasiswa., Sayakesal karena tata usaha kampus seringkali mengalamikesalahan dalam mengurus administrasi mahasiswa.
1067,kecewa, Saya merasa kecewa  dengan respon lambat dari tata usaha kampus dalam menanggapi pertanyaan dan permintaan mahasiswa., Saya merasa kecewa  dengan respon lambat dari tata usaha kampus dalam menanggapi pertanyaan dan permintaan mahasiswa.
1068,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pendaftaran dan pengurusan administrasi., Pelayanan tata usaha kampus sangat membantu dalam proses pendaftaran dan pengurusan administrasi.
1069,kesal, Sayakesal karena tata usaha kampus seringkali tidak memberikan informasi yang lengkap dan jelas kepada mahasiswa., Sayakesal karena tata usaha kampus seringkali tidak memberikan informasi yang lengkap dan jelas kepada mahasiswa.
1070,kecewa, Saya merasa kecewa  dengan ketidakefisienan sistem pelayanan di tata usaha kampus., Saya merasa kecewa  dengan ketidakefisienan sistem pelayanan di tata usaha kampus.
1071,puas, Pelayanan tata usaha kampus sangat responsif dalam mengatasi masalah dan pertanyaan dari mahasiswa., Pelayanan tata usaha kampus sangat responsif dalam mengatasi masalah dan pertanyaan dari mahasiswa.
1072,kesal, Sayakesal karena tata usaha kampus seringkali tidak menginformasikan perubahan atau pembatalan jadwal kepada mahasiswa., Sayakesal karena tata usaha kampus seringkali tidak menginformasikan perubahan atau pembatalan jadwal kepada mahasiswa.
1073,kecewa, Saya merasa kecewa  dengan kebijakan tata usaha kampus yang cenderung mempersulit mahasiswa., Saya merasa kecewa  dengan kebijakan tata usaha kampus yang cenderung mempersulit mahasiswa.
1074,puas, Pelayanan tata usaha kampus sangat membantu dalam menyediakan informasi tentang kegiatan dan acara kampus., Pelayanan tata usaha kampus sangat membantu dalam menyediakan informasi tentang kegiatan dan acara kampus.
1075,kesal, Sayakesal karena tata usaha kampus seringkali tidak mengkoordinasikan data dengan baik antara bagian-bagian yang berbeda., Sayakesal karena tata usaha kampus seringkali tidak mengkoordinasikan data dengan baik antara bagian-bagian yang berbeda.
1076,kecewa, Saya merasa kecewa  dengan sikap kurang sabar dan membosankan dari staf tata usaha kampus., Saya merasa kecewa  dengan sikap kurang sabar dan membosankan dari staf tata usaha kampus.
1077,puas, Pelayanan tata usaha kampus sangat membantu dalam mengurus surat izin dan administrasi lainnya., Pelayanan tata usaha kampus sangat membantu dalam mengurus surat izin dan administrasi lainnya.
1078,kesal, Sayakesal karena tata usaha kampus seringkali tidak memberikan penjelasan yang memadai terkait peraturan dan prosedur kampus., Sayakesal karena tata usaha kampus seringkali tidak memberikan penjelasan yang memadai terkait peraturan dan prosedur kampus.
1079,kecewa, Saya merasa kecewa  dengan kurangnya perhatian dari tata usaha kampus terhadap masalah-masalah yang dihadapi mahasiswa., Saya merasa kecewa  dengan kurangnya perhatian dari tata usaha kampus terhadap masalah-masalah yang dihadapi mahasiswa.
1080,puas, Pelayanan tata usaha kampus sangat profesional dan mengutamakan kepuasan mahasiswa., Pelayanan tata usaha kampus sangat profesional dan mengutamakan kepuasan mahasiswa.
1081,sedih, Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan dukungan yang memadai bagi mahasiswa yang mengalami kesulitan., Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan dukungan yang memadai bagi mahasiswa yang mengalami kesulitan.
1082,puas, Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi mengenai beasiswa dan bantuan keuangan., Pelayanan tata usaha kampus sangat membantu dalam memberikan informasi mengenai beasiswa dan bantuan keuangan.
1083,sedih, Saya merasa sedih karena pelayanan tata usaha kampus terkadang kurang empati terhadap masalah pribadi mahasiswa., Saya merasa sedih karena pelayanan tata usaha kampus terkadang kurang empati terhadap masalah pribadi mahasiswa.
1084,puas, Pelayanan tata usaha kampus sangat ramah dan memberikan pengalaman yang menyenangkan bagi mahasiswa., Pelayanan tata usaha kampus sangat ramah dan memberikan pengalaman yang menyenangkan bagi mahasiswa.
1085,sedih, Saya merasa sedih karena kurangnya kejelasan prosedur administrasi di tata usaha kampus yang menyebabkan kebingungan bagi mahasiswa., Saya merasa sedih karena kurangnya kejelasan prosedur administrasi di tata usaha kampus yang menyebabkan kebingungan bagi mahasiswa.
1086,puas, Pelayanan tata usaha kampus sangat sigap dalam mengurus berbagai keperluan mahasiswa., Pelayanan tata usaha kampus sangat sigap dalam mengurus berbagai keperluan mahasiswa.
1087,sedih, Saya merasa sedih karena seringkali tata usaha kampus kurang memberikan pengarahan dan bimbingan kepada mahasiswa baru., Saya merasa sedih karena seringkali tata usaha kampus kurang memberikan pengarahan dan bimbingan kepada mahasiswa baru.
1088,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pendaftaran dan pengurusan administrasi., Pelayanan tata usaha kampus sangat membantu dalam proses pendaftaran dan pengurusan administrasi.
1089,sedih, Saya merasa sedih karena seringkali tata usaha kampus terkesan acuh tak acuh terhadap keluhan mahasiswa., Saya merasa sedih karena seringkali tata usaha kampus terkesan acuh tak acuh terhadap keluhan mahasiswa.
1090,puas, Pelayanan tata usaha kampus sangat responsif dalam mengatasi masalah dan pertanyaan dari mahasiswa., Pelayanan tata usaha kampus sangat responsif dalam mengatasi masalah dan pertanyaan dari mahasiswa.
1091,sedih, Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan informasi yang lengkap dan jelas kepada mahasiswa., Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan informasi yang lengkap dan jelas kepada mahasiswa.
1092,puas, Pelayanan tata usaha kampus sangat membantu dalam menyediakan informasi tentang kegiatan dan acara kampus., Pelayanan tata usaha kampus sangat membantu dalam menyediakan informasi tentang kegiatan dan acara kampus.
1093,sedih, Saya merasa sedih karena seringkali tata usaha kampus tidak mengkoordinasikan data dengan baik antara bagian-bagian yang berbeda., Saya merasa sedih karena seringkali tata usaha kampus tidak mengkoordinasikan data dengan baik antara bagian-bagian yang berbeda.
1094,puas, Pelayanan tata usaha kampus sangat membantu dalam mengurus surat izin dan administrasi lainnya., Pelayanan tata usaha kampus sangat membantu dalam mengurus surat izin dan administrasi lainnya.
1095,sedih, Saya merasa sedih karena tata usaha kampus seringkali tidak memberikan penjelasan yang memadai terkait peraturan dan prosedur kampus., Saya merasa sedih karena tata usaha kampus seringkali tidak memberikan penjelasan yang memadai terkait peraturan dan prosedur kampus.
1096,puas, Pelayanan tata usaha kampus sangat profesional dan mengutamakan kepuasan mahasiswa., Pelayanan tata usaha kampus sangat profesional dan mengutamakan kepuasan mahasiswa.
1097,sedih, Saya merasa sedih karena tata usaha kampus seringkali tidak mengindahkan deadline dalam pengurusan administrasi mahasiswa., Saya merasa sedih karena tata usaha kampus seringkali tidak mengindahkan deadline dalam pengurusan administrasi mahasiswa.
1098,puas, Pelayanan tata usaha kampus sangat baik dan membantu mahasiswa dalam mengurus berbagai administrasi., Pelayanan tata usaha kampus sangat baik dan membantu mahasiswa dalam mengurus berbagai administrasi.
1099,sedih, Saya merasa sedih karena pelayanan tata usaha kampus terkadang kurang empati terhadap masalah pribadi mahasiswa., Saya merasa sedih karena pelayanan tata usaha kampus terkadang kurang empati terhadap masalah pribadi mahasiswa.
1100,puas, Pelayanan tata usaha kampus sangat ramah dan memberikan pengalaman yang menyenangkan bagi mahasiswa., Pelayanan tata usaha kampus sangat ramah dan memberikan pengalaman yang menyenangkan bagi mahasiswa.
1101,sedih, Saya merasa sedih karena kurangnya kejelasan prosedur administrasi di tata usaha kampus yang menyebabkan kebingungan bagi mahasiswa., Saya merasa sedih karena kurangnya kejelasan prosedur administrasi di tata usaha kampus yang menyebabkan kebingungan bagi mahasiswa.
1102,puas, Pelayanan tata usaha kampus sangat sigap dalam mengurus berbagai keperluan mahasiswa., Pelayanan tata usaha kampus sangat sigap dalam mengurus berbagai keperluan mahasiswa.
1103,sedih, Saya merasa sedih karena seringkali tata usaha kampus kurang memberikan pengarahan dan bimbingan kepada mahasiswa baru., Saya merasa sedih karena seringkali tata usaha kampus kurang memberikan pengarahan dan bimbingan kepada mahasiswa baru.
1104,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pendaftaran dan pengurusan administrasi., Pelayanan tata usaha kampus sangat membantu dalam proses pendaftaran dan pengurusan administrasi.
1105,sedih, Saya merasa sedih karena seringkali tata usaha kampus terkesan acuh tak acuh terhadap keluhan mahasiswa., Saya merasa sedih karena seringkali tata usaha kampus terkesan acuh tak acuh terhadap keluhan mahasiswa.
1106,puas, Pelayanan tata usaha kampus sangat responsif dalam mengatasi masalah dan pertanyaan dari mahasiswa., Pelayanan tata usaha kampus sangat responsif dalam mengatasi masalah dan pertanyaan dari mahasiswa.
1107,sedih, Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan informasi yang lengkap dan jelas kepada mahasiswa., Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan informasi yang lengkap dan jelas kepada mahasiswa.
1108,puas, Pelayanan tata usaha kampus sangat membantu dalam menyediakan informasi tentang kegiatan dan acara kampus., Pelayanan tata usaha kampus sangat membantu dalam menyediakan informasi tentang kegiatan dan acara kampus.
1109,sedih, Saya merasa sedih karena seringkali tata usaha kampus tidak mengkoordinasikan data dengan baik antara bagian-bagian yang berbeda., Saya merasa sedih karena seringkali tata usaha kampus tidak mengkoordinasikan data dengan baik antara bagian-bagian yang berbeda.
1110,puas, Pelayanan tata usaha kampus sangat membantu dalam mengurus surat izin dan administrasi lainnya., Pelayanan tata usaha kampus sangat membantu dalam mengurus surat izin dan administrasi lainnya.
1111,sedih, Saya merasa sedih karena tata usaha kampus seringkali tidak memberikan penjelasan yang memadai terkait peraturan dan prosedur kampus., Saya merasa sedih karena tata usaha kampus seringkali tidak memberikan penjelasan yang memadai terkait peraturan dan prosedur kampus.
1112,puas, Pelayanan tata usaha kampus sangat profesional dan mengutamakan kepuasan mahasiswa., Pelayanan tata usaha kampus sangat profesional dan mengutamakan kepuasan mahasiswa.
1113,sedih, Saya merasa sedih karena tata usaha kampus seringkali tidak mengindahkan deadline dalam pengurusan administrasi mahasiswa., Saya merasa sedih karena tata usaha kampus seringkali tidak mengindahkan deadline dalam pengurusan administrasi mahasiswa.
1114,puas, Pelayanan tata usaha kampus sangat baik dan membantu mahasiswa dalam mengurus berbagai administrasi., Pelayanan tata usaha kampus sangat baik dan membantu mahasiswa dalam mengurus berbagai administrasi.
1115,sedih, Saya merasa sedih karena pelayanan tata usaha kampus terkadang kurang empati terhadap masalah pribadi mahasiswa., Saya merasa sedih karena pelayanan tata usaha kampus terkadang kurang empati terhadap masalah pribadi mahasiswa.
1116,puas, Pelayanan tata usaha kampus sangat ramah dan memberikan pengalaman yang menyenangkan bagi mahasiswa., Pelayanan tata usaha kampus sangat ramah dan memberikan pengalaman yang menyenangkan bagi mahasiswa.
1117,sedih, Saya merasa sedih karena kurangnya kejelasan prosedur administrasi di tata usaha kampus yang menyebabkan kebingungan bagi mahasiswa., Saya merasa sedih karena kurangnya kejelasan prosedur administrasi di tata usaha kampus yang menyebabkan kebingungan bagi mahasiswa.
1118,puas, Pelayanan tata usaha kampus sangat sigap dalam mengurus berbagai keperluan mahasiswa., Pelayanan tata usaha kampus sangat sigap dalam mengurus berbagai keperluan mahasiswa.
1119,sedih, Saya merasa sedih karena seringkali tata usaha kampus kurang memberikan pengarahan dan bimbingan kepada mahasiswa baru., Saya merasa sedih karena seringkali tata usaha kampus kurang memberikan pengarahan dan bimbingan kepada mahasiswa baru.
1120,puas, Pelayanan tata usaha kampus sangat membantu dalam proses pendaftaran dan pengurusan administrasi., Pelayanan tata usaha kampus sangat membantu dalam proses pendaftaran dan pengurusan administrasi.
1121,sedih, Saya merasa sedih karena seringkali tata usaha kampus terkesan acuh tak acuh terhadap keluhan mahasiswa., Saya merasa sedih karena seringkali tata usaha kampus terkesan acuh tak acuh terhadap keluhan mahasiswa.
1122,puas, Pelayanan tata usaha kampus sangat responsif dalam mengatasi masalah dan pertanyaan dari mahasiswa., Pelayanan tata usaha kampus sangat responsif dalam mengatasi masalah dan pertanyaan dari mahasiswa.
1123,sedih, Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan informasi yang lengkap dan jelas kepada mahasiswa., Saya merasa sedih karena seringkali tata usaha kampus tidak memberikan informasi yang lengkap dan jelas kepada mahasiswa.
1124,puas, Pelayanan tata usaha kampus sangat membantu dalam menyediakan informasi tentang kegiatan dan acara kampus., Pelayanan tata usaha kampus sangat membantu dalam menyediakan informasi tentang kegiatan dan acara kampus.
